#,Age:,Gender:,UK Location:,Geographic Location:,Education Level:,Occupation:,Other,Annual Household Income:,How often do you use cash for transactions?,How often do you use debit cards for transactions?,How often do you use credit cards for transactions?,Do you use online banking?,Do you use mobile banking?,"Have you ever used peer-to-peer payment services (e.g., PayPal)?",Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,MakerDAO,Uniswap,Curve Finance,Revolut,Wirex,BitPay,Other,Do you currently own or use any Decentralized payment systems (DPS) ?,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,MakerDAO,Uniswap,Curve Finance,Revolut,Wirex,BitPay,Other,How often do you use Decentralized payment systems (DPS)  for transactions?,Primary reasons for using Decentralized payment systems (DPS) : (Please select all that apply),Lack of knowledge or understanding,Security concerns,Volatility of prices,Difficulty in purchasing or selling,Lack of acceptance by merchants,Others,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,MakerDAO,Uniswap,Curve Finance,Revolut,Wirex,BitPay,Other,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,MakerDAO,Uniswap,Curve Finance,Revolut,Wirex,BitPay,Other,Speed of transactions,Low transaction fees,Security,Potential for high returns,Other,Convenience and speed of transactions.,Lower transaction fees compared to traditional methods.,Access to financial services for the unbanked and underbanked.,Potential for higher investment returns.,Increased control over finances.,Are there any other benefits of using Decentralized payment systems (DPS)  that you would like to mention?,"Security concerns (e.g., hacking, fraud)",Price volatility of Decentralized payment systems (DPS) .,Lack of regulatory protection.,Loss of funds.,Counterparty risk.,Are there any other risks associated with using Decentralized payment systems (DPS)  that you would like to mention?,How much do you trust the security of Decentralized payment systems (DPS)  transactions?,How much do you trust the regulatory framework for Decentralized payment systems (DPS) ?,How much do you trust the long-term stability of Decentralized payment systems (DPS) ?,Do you trust financial institutions to regulate the cryptocurrency market?,How do you perceive the volatility of Decentralized payment systems (DPS) ?,"Please rate your understanding of financial concepts (e.g., interest rates, inflation, investment):",Investment in Decentralized payment systems (DPS)  is a good idea.,Governments should regulate Decentralized payment systems (DPS)  more strictly.,What are your overall thoughts and opinions about?,"*Financial Inclusion:*
oz971xi22bb9vzlg3oz971xa2qa8uq5v,25-34,Male,Not in the UK,Urban,College Graduate,Professional/Managerial,,"Less than £20,000",Weekly,Daily,Rarely,Yes,Yes,No,Bitcoin,Ethereum,Tether (USDT),,,,,,,Revolut,,,,Yes,,,Tether (USDT),,,,,,,Revolut,,,Wise,Monthly,Making payments,Lack of knowledge or understanding,,,,Lack of acceptance by merchants,,Bitcoin,,,,,,,,,Revolut,,,,,,,,,,,,,Revolut,,,,Speed of transactions,Low transaction fees,,,,Very High,High,High,Very High,Very High,N/A,Very High,Very High,Very High,High,High,N/A,Neutral,Neutral,High,Disagree,Neutral,Neutral,Neutral,Neutral,,Agree,Agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,completed,2024-08-29 14:30:45,,2024-08-29 14:39:48,2379ca0e3f,
jx79c7lag9r41ejxmaos7szvwgl97ffi,45-54,Male,England,Urban,Postgraduate,Skilled Trades,,"£20,000-£40,000",Rarely,Weekly,Weekly,Yes,Yes,Yes,Bitcoin,,,,,,,,,,,,,No,Bitcoin,,,,,,,,,,,,,Rarely,Other,Lack of knowledge or understanding,Security concerns,,,Lack of acceptance by merchants,,Bitcoin,,,,,,,,,Revolut,,,,,,,,,,,,,Revolut,,,,Speed of transactions,,Security,,,Neutral,Neutral,High,High,High,NA,Very High,High,Very High,Very High,Very High,NA,Neutral,Neutral,Neutral,Strongly agree,Neutral,High,Strongly agree,Strongly agree,Good,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,completed,2024-08-29 14:28:02,,2024-08-29 14:47:03,1624f3e769,
ficc5pxzvwnvtsdel9xcificc5pxsziu,18-24,Female,Scotland,Urban,College Graduate,Student,,"Less than £20,000",Daily,Weekly,Rarely,Yes,Yes,Yes,Bitcoin,Ethereum,,,,,,,,Revolut,,,,No,,,,,,,,,,,,,,Rarely,Other,Lack of knowledge or understanding,,,,,,Bitcoin,Ethereum,,,,,,,,Revolut,,,,,,,,,,,,,Revolut,,,,,,Security,,,High,Neutral,Neutral,Neutral,Neutral,None,High,Neutral,Neutral,Neutral,High,None,Low,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,completed,2024-08-29 14:21:04,,2024-08-29 15:10:21,64f0e091b6,
1x5diedi1cou2gocdfbt1x5diedlmlv9,45-54,Female,England,Urban,Postgraduate,Student,,"Less than £20,000",Rarely,Rarely,Weekly,Yes,No,No,,,,,,,,,,Revolut,,,,Yes,,,,,,,,,,Revolut,,,,Daily,Making payments,,Security concerns,,,,,,,,,,,,,,Revolut,,,,Bitcoin,,,,,,,,,,,,,,,,Potential for high returns,,Neutral,Neutral,Very Low,Neutral,High,,High,Neutral,Very Low,Very High,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Neutral,completed,2024-08-29 14:19:01,,2024-08-29 14:35:17,e43ce97a1c,
ity3p3sqpge9svhu2oity3p33m4ki6f7,35-44,Male,England,Urban,Postgraduate,Student,,"Less than £20,000",Rarely,Weekly,Weekly,Yes,Yes,No,Bitcoin,Ethereum,,Binance Coin (BNB),,,,,,Revolut,,,,No,,,,,,,,,,,,,,Rarely,Hedging against inflation,Lack of knowledge or understanding,,Volatility of prices,,,,Bitcoin,Ethereum,,Binance Coin (BNB),,,,,,Revolut,,,,Bitcoin,Ethereum,,Binance Coin (BNB),,,,,,,,,,,,Security,,,Very High,Very High,Very High,Very High,Very High,No,High,Very High,Very High,Very High,High,No,Neutral,Neutral,Neutral,Disagree,Neutral,High,Agree,Neutral,None,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,completed,2024-08-29 14:11:35,,2024-08-29 14:59:57,48b6e6e105,
0qpypy51xr90m39kw0qpy92ovjjoei28,25-34,Female,Not in the UK,Urban,Postgraduate,Professional/Managerial,,"Less than £20,000",Daily,Weekly,Weekly,Yes,Yes,No,Bitcoin,Ethereum,,Binance Coin (BNB),,,,,,,,BitPay,,Yes,Bitcoin,,,,,,,,,,,,,Monthly,Investing,,Security concerns,Volatility of prices,,,,Bitcoin,Ethereum,,Binance Coin (BNB),,,,,,,,BitPay,,,,Tether (USDT),,,,,,,,,,,,,,Potential for high returns,,Neutral,Low,Neutral,High,Neutral,,High,High,High,High,High,,Neutral,Neutral,Neutral,Neutral,Neutral,High,Agree,Agree,,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Strongly agree,Agree,completed,2024-08-29 13:33:01,,2024-08-29 13:51:28,75c7f72af6,
fm72f065om8k0k08lmfm72lnz2widjt6,18-24,Male,England,Suburban,Postgraduate,Unemployed,,"£20,000-£40,000",Rarely,Daily,Rarely,No,Yes,No,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),,,,,Revolut,,,,No,,,,,,,,,,,,,,Rarely,Other,,,Volatility of prices,,Lack of acceptance by merchants,Others,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),,MakerDAO,Uniswap,,Revolut,,BitPay,USDD,,,,,,,,,,,,,None,,,,,Volatile,Neutral,Neutral,Neutral,Neutral,Neutral,,Low,High,Neutral,Neutral,Neutral,,High,Neutral,Neutral,Disagree,High,High,Neutral,Disagree,,Neutral,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,completed,2024-08-29 13:31:57,,2024-08-29 15:03:19,fb076ccdbd,
5xngkhrwkzz94l67og5xngkhjed7bkhu,25-34,Female,England,Urban,Postgraduate,Student,,"£20,000-£40,000",Rarely,Daily,Rarely,Yes,Yes,No,Bitcoin,Ethereum,Tether (USDT),,Ripple (XRP),,,,,Revolut,,,,No,,,,,,,,,,,,,,Rarely,Other,Lack of knowledge or understanding,,Volatility of prices,,Lack of acceptance by merchants,,,,,,,,,,,Revolut,,,,,,,,,,,,,,,,none,,,,,none,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Very High,Neutral,Neutral,,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,completed,2024-08-29 13:19:26,,2024-08-29 13:26:38,4ff5bfabd2,
wgearnc3bwr492e0wgerkn6f4gaxryms,25-34,Male,England,Urban,Postgraduate,Student,,"Less than £20,000",Rarely,Daily,Rarely,Yes,Yes,Yes,Bitcoin,,,,,,,,,Revolut,,,,Yes,Bitcoin,,,,,,,,,,,,,Rarely,Making payments,Lack of knowledge or understanding,,Volatility of prices,Difficulty in purchasing or selling,,,Bitcoin,Ethereum,Tether (USDT),,,,,,,,,,,Bitcoin,,,,,,,,,,,,,,,Security,Potential for high returns,,High,Neutral,Low,High,Neutral,,Low,High,High,Neutral,High,,High,High,High,Disagree,Neutral,High,Agree,Disagree,,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,completed,2024-08-29 13:13:21,,2024-08-29 13:14:39,1720d7b40f,
8dw558kzoxq6un38dw5fnrhxogpuxk8r,25-34,Female,Scotland,Suburban,Postgraduate,Professional/Managerial,,"£20,000-£40,000",Rarely,Weekly,Weekly,Yes,Yes,Yes,Bitcoin,,,,,,,,,,,,,No,,,,,,,,,,,,,,Rarely,Other,Lack of knowledge or understanding,Security concerns,,,,Others,Bitcoin,,,,,,,,,,,,,Bitcoin,,,,,,,,,,,,,Speed of transactions,,,,,High,Very High,Low,Low,Neutral,Not familiar with the use of it,Neutral,Neutral,Neutral,Neutral,Neutral,None,Low,Low,Low,Disagree,Low,Low,Neutral,Strongly agree,,Strongly agree,Strongly agree,Agree,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Neutral,Neutral,completed,2024-08-29 13:06:46,,2024-08-29 13:14:26,90ac6681ea,
r5tkrhzat2uw4zs7r5tkrhzfkgngmc0k,25-34,Male,England,Suburban,Postgraduate,Student,,"Less than £20,000",Daily,Rarely,Rarely,Yes,Yes,Yes,,,,,,,,,,Revolut,,,,No,,,,,,,,,,Revolut,,,,Rarely,Investing,Lack of knowledge or understanding,Security concerns,,,,,,,,,,,,,,Revolut,,,,,,,,,,,,,Revolut,,,,Speed of transactions,,,Potential for high returns,,Very High,High,Very High,Very High,Very High,Nil,Very High,Very High,Low,High,Low,,Very High,Very High,Very High,Strongly agree,Very high,Very Low,Strongly agree,Strongly agree,"It’s a potential opportunity to make high returns. However, due to its high volatility nature, deep understanding of the model is required.",Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly agree,completed,2024-08-29 13:03:30,,2024-08-29 13:11:28,1c4dcf85f9,
iyjebleefyizkun7smd09hiyjebleqlu,25-34,Female,England,Urban,Postgraduate,Student,,"£20,000-£40,000",Weekly,Daily,Rarely,Yes,Yes,Yes,Bitcoin,,,Binance Coin (BNB),,,,,,Revolut,,,,Yes,,,,,,,,,,Revolut,,,,Rarely,Making payments,Lack of knowledge or understanding,Security concerns,,,,,,,,,,,,,,Revolut,,,,Bitcoin,,,,,,,,,Revolut,,,,,,Security,Potential for high returns,,High,Very High,High,High,Very High,Security,Very High,High,Neutral,Very High,Very High,No,High,High,High,Agree,High,High,Agree,Agree,,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,completed,2024-08-29 13:00:19,,2024-08-29 13:06:03,47e53ff4c8,
etnp9fyjvvhybnetn130yrybwqr0ht3g,18-24,Female,Not in the UK,Urban,Postgraduate,Professional/Managerial,,"Less than £20,000",Daily,Daily,Rarely,Yes,Yes,Yes,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Rarely,Making payments,Lack of knowledge or understanding,,,,,,Bitcoin,,,,,,,,,,,,,,Ethereum,,,,,,,,,,,,Speed of transactions,,,,,Very High,Neutral,High,High,Low,,High,High,High,Very High,Low,,Neutral,Low,Low,Neutral,Neutral,High,Disagree,Strongly agree,,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,,completed,2024-08-29 13:00:01,,2024-08-29 13:07:38,58ed101b87,
agwhcqsx5a8wqr5s3oagwhcqy6j9es1m,25-34,Male,England,Urban,Postgraduate,Professional/Managerial,,"above £40,000",Daily,Daily,Daily,Yes,Yes,Yes,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,MakerDAO,,Curve Finance,Revolut,Wirex,BitPay,,Yes,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,MakerDAO,Uniswap,Curve Finance,Revolut,Wirex,BitPay,,Daily,Hedging against inflation,Lack of knowledge or understanding,Security concerns,Volatility of prices,Difficulty in purchasing or selling,Lack of acceptance by merchants,,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,MakerDAO,Uniswap,Curve Finance,Revolut,,BitPay,,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,MakerDAO,Uniswap,Curve Finance,,,,,Speed of transactions,,Security,Potential for high returns,,Very High,Very High,Very High,Very High,Very High,,Very High,Very High,Very High,Very High,Very High,,High,High,High,Disagree,Very Low,Very High,Strongly agree,Agree,,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,completed,2024-08-29 12:36:49,,2024-08-29 12:38:47,1b8f0cde75,
66yualmbxka87253sr66yuqo5n7f3d8x,45-54,Male,England,Urban,Postgraduate,Student,,"Less than £20,000",Daily,Daily,Rarely,Yes,Yes,Yes,Bitcoin,,,,,,,,,,,,,No,,,,,,,,,,,,,,Rarely,Other,Lack of knowledge or understanding,,,,,,Bitcoin,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,N/A,Low,Low,Low,Low,Very Low,,Very Low,Very Low,Very Low,Very Low,Very Low,,Very Low,Very Low,Very Low,Strongly disagree,Very Low,Very Low,Strongly disagree,Strongly disagree,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,completed,2024-08-29 12:34:40,,2024-08-29 12:39:48,3b641ab296,
w31445selj4xz8fd5k338w3144n1ego7,35-44,Male,England,Urban,Postgraduate,Professional/Managerial,,"above £40,000",Rarely,Weekly,Monthly,Yes,Yes,No,,,,,,,,,,,,,Nil,Yes,,,,,,,,,,Revolut,,,,Weekly,Making payments,Lack of knowledge or understanding,,,,,,,,,,,,,,,Revolut,,,,,,,,,,,,,,,,Nil,,,,,Nil,High,Neutral,Neutral,Neutral,Neutral,Nil,Very High,Neutral,Low,High,High,Nil,High,High,High,Agree,High,High,Neutral,Agree,Nil,Strongly agree,Agree,Strongly agree,Neutral,Agree,Disagree,Agree,Agree,Strongly agree,Neutral,completed,2024-08-29 12:34:21,,2024-08-29 12:40:23,1f479b82d1,
je96yr85ach1je96yr9chkgjhwd0yn9i,35-44,Female,England,Rural,Postgraduate,Skilled Trades,,"£20,000-£40,000",Rarely,Daily,Daily,Yes,Yes,No,Bitcoin,,,,,,,,,Revolut,,,Monzo,Yes,,,,,,,,,,Revolut,,,Monzo,Daily,Making payments,,Security concerns,,,,,,,,,,,,,,Revolut,,,Monzo,,,,,,,,,,Revolut,,,Monzo,,,Security,,,High,High,Low,Very High,High,E-wallet,High,High,High,Very High,Very High,Vulnerability risk,Neutral,Low,Low,Neutral,Low,Low,Neutral,Neutral,It depends on individual perspectives about it and how buoyant you are financially will determine if you want to put your finance it.,Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,completed,2024-08-29 12:13:22,,2024-08-29 12:30:39,015a9d01ad,
223pnm3k6ri10yb8i223pnme65ivyfw0,18-24,Male,Not in the UK,Suburban,College Graduate,Unemployed,,"£20,000-£40,000",Daily,Daily,Rarely,Yes,Yes,Yes,Bitcoin,Ethereum,Tether (USDT),,,,,,,,,,,Yes,,Ethereum,Tether (USDT),,,,,,,,,,,Monthly,Making payments,,,Volatility of prices,,,,,,Tether (USDT),,,,,,,,,,,,,Tether (USDT),,,,,,,,,,,,Low transaction fees,,,,High,Neutral,High,High,Neutral,No,Very Low,High,High,Low,Low,No,High,High,High,Neutral,High,High,Neutral,Neutral,None,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,completed,2024-08-29 12:12:16,,2024-08-29 12:16:49,a62781442c,
8iw91roun08796l8iw91rmqd2h5dnt4r,18-24,Female,England,Suburban,Postgraduate,Unemployed,,"Less than £20,000",Weekly,Weekly,Weekly,Yes,Yes,No,Bitcoin,,,,,,,,,Revolut,,,,Yes,Bitcoin,,,,,,,,,Revolut,,,,Daily,Making payments,Lack of knowledge or understanding,,,,,,Bitcoin,,,,,,,,,Revolut,,,,Bitcoin,,,,,,,,,Revolut,,,,Speed of transactions,,,,,High,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,completed,2024-08-29 12:10:39,,2024-08-29 12:12:25,e3d4771976,
t9yxy2vmovrkujxdit9yx7feejrdfdkc,35-44,Female,England,Urban,Postgraduate,Skilled Trades,,"£20,000-£40,000",Weekly,Daily,Daily,Yes,Yes,No,Bitcoin,,,,,,,,,,,,,No,Bitcoin,,,,,,,,,,,,,Rarely,Making payments,,Security concerns,,,,,Bitcoin,,,,,,,,,,,,,Bitcoin,,,,,,,,,,,,,,,Security,,,Neutral,High,Low,Neutral,High,,Very High,Very High,Neutral,Very High,Very High,,Low,Low,Low,Strongly agree,Very high,Neutral,Neutral,Agree,,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,completed,2024-08-29 11:57:37,,2024-08-29 12:11:59,91c92dcb4f,
dfmy490sda8s4gidf8zj3i7ozrxq1vmw,25-34,Male,England,Suburban,Postgraduate,Student,,"Less than £20,000",Rarely,Weekly,Rarely,Yes,Yes,No,Bitcoin,Ethereum,,Binance Coin (BNB),,,,,,Revolut,,,,No,,,,,,,,,,,,,,Rarely,Other,Lack of knowledge or understanding,Security concerns,,,,,Bitcoin,Ethereum,,,,,,,,,,,,Bitcoin,,,,,,,,,,,,,Speed of transactions,,,,,High,High,Neutral,High,High,No,High,Neutral,High,High,Neutral,No,Neutral,Neutral,Neutral,Agree,High,Neutral,Neutral,Agree,It should be regulated,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,completed,2024-08-29 11:37:53,,2024-08-29 11:43:43,d92ea00936,
x8ow8yaylqoe0hljl68x8ow8yacmgp2a,18-24,Male,England,Suburban,Postgraduate,Student,,"Less than £20,000",Rarely,Daily,Rarely,Yes,Yes,Yes,Bitcoin,Ethereum,Tether (USDT),,Ripple (XRP),,,,,Revolut,,,,No,,,,,,,,,,,,,,Rarely,Investing,Lack of knowledge or understanding,Security concerns,Volatility of prices,,,,Bitcoin,Ethereum,,,Ripple (XRP),,,,,,,,,Bitcoin,Ethereum,Tether (USDT),,Ripple (XRP),,,,,,,,,Speed of transactions,Low transaction fees,Security,,,Very High,High,High,High,High,,Low,Low,High,Neutral,Low,,High,High,Low,Agree,High,Very High,Agree,Agree,,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,completed,2024-08-29 10:56:13,,2024-08-29 11:00:37,652d3a7dd9,
ifrxwqi57s989ixifrxwq8z5p1ig832c,35-44,Male,England,Urban,Some College,Skilled Trades,,"£20,000-£40,000",Rarely,Daily,Rarely,Yes,Yes,Yes,Bitcoin,,,,,,,,,,,,,No,Bitcoin,,,,,,,,,,,,,Rarely,Making payments,,,,,Lack of acceptance by merchants,,Bitcoin,,,,,,,,,,,,,,,,,,,,,,Revolut,,,,,,Security,,,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,completed,2024-08-29 10:36:22,,2024-08-29 10:40:49,8bc952acb8,
8njmx482b9p77n1808njmx4oevivz0ch,35-44,Male,England,Urban,Postgraduate,Professional/Managerial,,"above £40,000",Monthly,Daily,Rarely,Yes,Yes,Yes,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),,,,,Revolut,Wirex,,,No,,,,,,,,,,,,,,Rarely,Investing,Lack of knowledge or understanding,Security concerns,Volatility of prices,Difficulty in purchasing or selling,Lack of acceptance by merchants,,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),,,,,,,,,,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),,,,,,,,,,,,Security,Potential for high returns,,High,High,Low,High,Neutral,,Very High,High,High,Very High,High,,Neutral,Neutral,High,Disagree,High,Very High,Agree,Agree,DPS is a nice concept,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,completed,2024-08-29 10:33:33,,2024-08-29 10:42:29,7658ff192c,
7a5f0pp0r5tr4db7a5f0prde2gbmg06h,35-44,Male,England,Urban,Postgraduate,Professional/Managerial,,"above £40,000",Rarely,Daily,Rarely,Yes,Yes,No,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,,Uniswap,,Revolut,,,,Yes,Bitcoin,,Tether (USDT),Binance Coin (BNB),,,,,,,,,,Rarely,Hedging against inflation,Lack of knowledge or understanding,Security concerns,Volatility of prices,,Lack of acceptance by merchants,,Bitcoin,Ethereum,Tether (USDT),Binance Coin (BNB),Ripple (XRP),Aave,,Uniswap,,Revolut,,,,Bitcoin,,Tether (USDT),Binance Coin (BNB),,,,,,,,,,,,,Potential for high returns,,High,Very High,Very High,Very High,Very High,,Very High,Very High,High,Very High,Very High,,Neutral,Very Low,High,Strongly disagree,Very high,Very High,Strongly agree,Strongly disagree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,completed,2024-08-29 10:12:35,,2024-08-29 10:19:09,db360431eb,
jmihpjgzzltlc2r015jneijmihpjg2ti,25-34,Male,England,Urban,Postgraduate,,,"Less than £20,000",Daily,Daily,Rarely,Yes,Yes,Yes,,,,,,,,,,Revolut,,,,Yes,,,,,,,,,,Revolut,,,,Daily,Making payments,,,,,,Others,,,,,,,,,,Revolut,,,,,,,,,,,,,Revolut,,,,Speed of transactions,,,,,High,High,High,High,Neutral,N/A,High,Low,High,Low,Low,N/A,High,High,High,Agree,Neutral,Neutral,Neutral,Agree,N/A,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,completed,2024-08-29 09:59:48,,2024-08-29 10:05:01,d79597b554,
gwsj5i5tzkd8fea4gavrggwsj5i5fk1m,25-34,Male,England,Urban,Postgraduate,,,"Less than £20,000",Rarely,Daily,Rarely,Yes,Yes,Yes,,,,,,,,,,Revolut,,,,Yes,,,,,,,,,,Revolut,,,,Weekly,Making payments,,,,Difficulty in purchasing or selling,,,Bitcoin,Ethereum,,,,,,,,Revolut,,,,Bitcoin,Ethereum,,,,,,,,Revolut,,,,Speed of transactions,,,,,Very High,Low,High,High,High,,Low,Low,Low,Low,Neutral,,High,High,Very High,Agree,High,High,Agree,Neutral,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,completed,2024-08-29 09:58:38,,2024-08-29 10:03:02,10259abde7,
b0c4qdj6034dho40sy12b0c4qd1eyt5r,18-24,Female,England,Suburban,Postgraduate,Unemployed,,"Less than £20,000",Monthly,Weekly,Weekly,Yes,Yes,Yes,,,,,,,,,,Revolut,,,,Yes,,,,,,,,,,Revolut,,,,Daily,Making payments,Lack of knowledge or understanding,Security concerns,,,Lack of acceptance by merchants,,,,,,,,,,,Revolut,,,,,,,,,,,,,Revolut,,,,Speed of transactions,Low transaction fees,,,,Very High,Very High,Very High,High,Very High,,Very High,High,High,High,High,,Neutral,Neutral,Neutral,Neutral,Neutral,High,Agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,completed,2024-08-29 09:39:27,,2024-08-29 09:44:48,9b6ff9e014,
